Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2021-11-01,2021,Tata Steel Limited,TATASTEEL.NS,NSE,117.94,120.83,115.37,116.7,233083480
2021-11-08,2021,Tata Steel Limited,TATASTEEL.NS,NSE,118.02,119.73,111.87,113.3,590340180
2021-11-15,2021,Tata Steel Limited,TATASTEEL.NS,NSE,113.98,114.33,104.03,104.44,433116500
2021-11-22,2021,Tata Steel Limited,TATASTEEL.NS,NSE,104.57,106.41,97.37,97.9,411668770
2021-11-29,2021,Tata Steel Limited,TATASTEEL.NS,NSE,97.9,100.07,93.56,98.4,513305540
2021-12-06,2021,Tata Steel Limited,TATASTEEL.NS,NSE,98.05,104.64,97.01,103.86,341943550
2021-12-13,2021,Tata Steel Limited,TATASTEEL.NS,NSE,104.56,105.53,99.02,99.64,241263850
2021-12-20,2021,Tata Steel Limited,TATASTEEL.NS,NSE,98.31,100.93,93.83,98.18,274615240
2021-12-27,2021,Tata Steel Limited,TATASTEEL.NS,NSE,97.79,99.59,96.73,97.82,176342660
2022-01-03,2022,Tata Steel Limited,TATASTEEL.NS,NSE,98.14,104.12,98.14,102.13,253369670
2022-01-10,2022,Tata Steel Limited,TATASTEEL.NS,NSE,102.54,107.93,97.96,106.81,395472510
2022-01-17,2022,Tata Steel Limited,TATASTEEL.NS,NSE,106.94,109.58,101.78,102.95,352016890
2022-01-24,2022,Tata Steel Limited,TATASTEEL.NS,NSE,102.1,102.42,93.41,95.46,310466880
2022-01-31,2022,Tata Steel Limited,TATASTEEL.NS,NSE,97.69,105.42,95.1,103.53,460024490
2022-02-07,2022,Tata Steel Limited,TATASTEEL.NS,NSE,102.83,111.33,102.18,110.41,550148520
2022-02-14,2022,Tata Steel Limited,TATASTEEL.NS,NSE,107.39,108.06,101.35,104.81,352006600
2022-02-21,2022,Tata Steel Limited,TATASTEEL.NS,NSE,104.56,105.79,93.92,100.81,406651800
2022-02-28,2022,Tata Steel Limited,TATASTEEL.NS,NSE,99.81,116.94,99.39,112.4,761862390
2022-03-07,2022,Tata Steel Limited,TATASTEEL.NS,NSE,112.3,117.93,109.23,114.57,526390720
